TABLE_NAME	COLUMN_NAME
estimated_price_list_table	estimated_price
estimated_price_list_table	updated_date
estimated_upload	upload_id
estimated_upload	upload_title
exclude_property	exid
exclude_property	mid
exclude_property	session_id
exclude_property	product_id
logo_directory	logo_id
logo_directory	logo_name
lot_size_range	lot_size_id
lot_size_range	build_year_id
lot_size_range	lot_size_name
market_trend_table	id
market_trend_table	property_type
market_trend_table	property_zipcode
market_trend_table	t_count
market_trend_table	avg_percentage_diff
market_trend_table	factor_type
market_trend_table	factor_value
market_trend_table	factor_min
market_trend_table	factor_max
market_trend_table	compass_point
market_trend_table	house_faces
market_trend_table	house_views
market_trend_table	street_name
market_trend_table	pool
market_trend_table	spa
market_trend_table	stories
market_trend_table	lot_description
market_trend_table	building_description
market_trend_table	carport_type
market_trend_table	converted_garage
market_trend_table	exterior_structure
market_trend_table	roof
market_trend_table	electrical_system
market_trend_table	plumbing_system
market_trend_table	built_desc
market_trend_table	exterior_grounds
market_trend_table	prop_desc
market_trend_table	over_all_property
market_trend_table	foreclosure
market_trend_table	short_sale
market_trend_table	sub_type
market_trend_table	factor_included
market_trend_table	studio
market_trend_table	condo_conversion
market_trend_table	association_features_available
market_trend_table	association_fee_1
market_trend_table	assessment
market_trend_table	sidlid
market_trend_table	parking_description
market_trend_table	fence_type
market_trend_table	court_approval
market_trend_table	bath_downstairs
market_trend_table	bedroom_downstairs
market_trend_table	great_room
market_trend_table	bath_downstairs_description
market_trend_table	flooring_description
market_trend_table	furnishings_description
market_trend_table	heating_features
market_trend_table	possession_description
market_trend_table	financing_considered
market_trend_table	reporeo
market_trend_table	litigation
market_trend_table	created_at
market_trend_table	updated_at
member_page_view_report	member_page_view_id
member_page_view_report	mid
member_page_view_report	card_view
member_page_view_report	profile_view
member_page_view_report	website_view
member_search_option	search_option_id
member_search_option	mid
member_search_option	saved_search_title
member_search_option	percentage_depreciation_value
member_search_option	search_keyword
member_search_option	state_id
member_search_option	county_id
member_search_option	city_id
member_search_option	zip_id
member_search_option	year_biult_id
member_search_option	year_biuld_to
member_search_option	property_price_from_range
member_search_option	property_price_to_range
member_search_option	square_footage_from
member_search_option	square_footage_to
member_search_option	lots_size_from
member_search_option	lots_size_to
member_search_option	property_type
member_search_option	bedrooms
member_search_option	bathrooms
member_search_option	garages
member_search_option	over_all_property
member_search_option	amenities_refrigerator
member_search_option	amenities_stove_id
member_search_option	amenities_dishwasher
member_search_option	amenities_washer_id
member_search_option	amenities_gated_community
member_search_option	amenities_fireplace_id
member_search_option	amenities_parking_id
member_search_option	amenities_microwave
member_search_option	pool
member_search_option	spa
member_search_option	search_keyword_attribute
member_search_option	photos_only
member_search_option	alerts
meta_title	metaid
meta_title	page_name
meta_title	titles
meta_title	descriptions
meta_title	keywords
meta_title	creator
meta_title	publisher
meta_title	language
meta_title	rights
meta_title	type
meta_title	coverage
meta_title	icbm
meta_title	region
meta_title	placename
meta_title	content_type
meta_title	robot_1
meta_title	robot_2
meta_title	robot_3
meta_title	glooglebot
meta_title	msnbot
meta_title	slurp
meta_title	classification
meta_title	rating
meta_title	document_type
meta_title	distribution
meta_title	dc_subject
meta_title	dc_description
meta_title	dc_title
migration	version
migration	apply_time
mls_glvar_agent	id
mls_glvar_agent	t1660_address_line_1
mls_glvar_agent	t1661_work_phone
mls_glvar_agent	t1664_access_flag_l1_1000001
mls_glvar_agent	t1669_city
mls_glvar_agent	t1670_state
mls_glvar_agent	t1715_first_name
mls_glvar_agent	t1716_agent_phone
mls_glvar_agent	t1717_last_name
mls_glvar_agent	t1718_last_transaction_code
mls_glvar_agent	t1719_last_transaction_date
mls_glvar_agent	t1720_office_code
mls_glvar_agent	t1724_roster_flag_l1_397
mls_glvar_agent	t1727_public_id
mls_glvar_agent	t1730_zip_code
mls_glvar_agent	t2551_agentfullname
mls_glvar_lookup	lookup_id
mls_glvar_lookup	mls_id
mls_glvar_lookup	short_name
mls_glvar_lookup	long_name
mls_glvar_office	id
mls_glvar_office	t1608_city
mls_glvar_office	t1609_state
mls_glvar_office	t1647_city_and_state
mls_glvar_office	t1652_office_code
mls_glvar_office	t1653_office_name
mls_glvar_office	t1654_office_phone
mls_glvar_office	t1659_zip_code
mls_glvar_office	t2217_designated_broker
mls_glvar_office	t2533_designated_broker_name
mls_glvar_open_house	id
mls_glvar_open_house	t0_sysid
mls_glvar_open_house	t2163_ml_num
mls_glvar_open_house	t2166_list_office_code
mls_glvar_open_house	t2167_property_type_l1_1
mls_glvar_open_house	t2168_list_price
mls_glvar_open_house	t2169_street_number
mls_glvar_open_house	t2170_compass_point_l1_4
mls_glvar_open_house	t2171_street_name
mls_glvar_open_house	t2172_area_l1_5
mls_glvar_open_house	t2173_address
mls_glvar_open_house	t2174_list_agent_public_id
mls_glvar_open_house	t2175_bedrooms
mls_glvar_open_house	t2176_zip_code
mls_glvar_open_house	t2177_open_house_date
mls_glvar_open_house	t2178_open_house_time
mls_glvar_open_house	t2179_open_house_type_l1_1000007
mls_glvar_open_house	t2180_open_house_status_l1_1000008
mls_glvar_open_house	t2181_refreshments_lYESNO
mls_glvar_open_house	t2182_open_house_remarks
mls_glvar_open_house	t2183_open_house_directions
mls_glvar_open_house	t2186_parcel_num
mls_glvar_open_house	t2187_property_status_l1_338
office_logo_directory	office_logoid
office_logo_directory	office_logo_name
price	price_id
price	amount
price	valid_month
price	type_of_price
profession_field_collection	collection_id
profession_field_collection	authitem_name
profession_field_collection	first_name
profession_field_collection	middle_name
profession_field_collection	last_name
profession_field_collection	office
profession_field_collection	street_address
profession_field_collection	address1
profession_field_collection	address2
profession_field_collection	state
profession_field_collection	county
profession_field_collection	city
profession_field_collection	zipcode
profession_field_collection	phone
profession_field_collection	phone_office
profession_field_collection	phone_fax
profession_field_collection	phone_home
profession_field_collection	phone_mobile
profession_field_collection	website_url
profession_field_collection	tagline
profession_field_collection	years_of_experience
profession_field_collection	years_of_experience_text
profession_field_collection	area_expertise
profession_field_collection	area_expertise_text
profession_field_collection	about_me
profession_field_collection	upload_photo
profession_field_collection	office_logo
profession_field_collection	upload_logo
profession_field_collection	listing_type
profession_field_collection	payment_type
profession_field_collection	join_date
profession_field_collection	join_only_date
profession_field_collection	membership_expire_date
profession_field_collection	membership_subscription_date
profession_field_collection	audit_expire_date
profession_field_collection	profile_completion_percentage
profession_field_collection	rating_average
profession_field_collection	agent_last_login
profession_field_collection	agent_comments
profession_field_collection	profile_notification
profession_field_collection	website_notification
profession_field_collection	listings_notification
profession_field_collection	subscription
profession_field_collection	timestamp
property_info	property_id
property_info	year_biult_id
property_info	pool
property_info	garages
property_info	mid
property_info	property_title
property_info	house_square_footage
property_info	lot_acreage
property_info	property_type
property_info	property_price
property_info	bathrooms
property_info	bedrooms
property_info	description
property_info	property_street
property_info	property_state_id
property_info	property_county_id
property_info	property_city_id
property_info	property_zipcode
property_info	property_uploaded_date
property_info	property_updated_date
property_info	property_expire_date
property_info	photo1
property_info	caption1
property_info	getlongitude
property_info	getlatitude
property_info	estimated_price
property_info	percentage_depreciation_value
property_info	comp_stage
property_info	estimated_price_recalc_at
property_info	low_range
property_info	high_range
property_info	property_status
property_info	user_session_id
property_info	visible
property_info	sub_type
property_info	area
property_info	subdivision
property_info	schools
property_info	community_name
property_info	community_features
property_info	property_fetatures
property_info	mls_sysid
property_info	views
property_info	street_number
property_info	street_name
property_info	building_number
property_info	location
property_info	property_type_mls
property_info	elevator_floor
property_info	converted_to_real_property
property_info	manufactured
property_info	ownership
property_info	building_description
property_info	comps
property_info	fundamentals_factor
property_info	conditional_factor
property_info	house_square_footage_gravity
property_info	lot_footage_gravity
property_info	mls_name
property_info	public_remarks
property_info_additional_brokerage_details	property_info_brokerage_details
property_info_additional_brokerage_details	property_id
property_info_additional_brokerage_details	status
property_info_additional_brokerage_details	fireplace_features
property_info_additional_brokerage_details	heating_features
property_info_additional_brokerage_details	exterior_construction_features
property_info_additional_brokerage_details	roofing_features
property_info_additional_brokerage_details	interior_features
property_info_additional_brokerage_details	exterior_features
property_info_additional_brokerage_details	sales_history
property_info_additional_brokerage_details	tax_history
property_info_additional_brokerage_details	foreclosure
property_info_additional_brokerage_details	short_sale
property_info_additional_brokerage_details	page_link
property_info_additional_brokerage_details	updated_mid
property_info_additional_brokerage_details	brokerage_mid
property_info_additional_brokerage_details	mls_id
property_info_additional_brokerage_details	pagent_name
property_info_additional_brokerage_details	pagent_phone
property_info_additional_brokerage_details	pagent_phone_fax
property_info_additional_brokerage_details	pagent_phone_home
property_info_additional_brokerage_details	pagent_phone_mobile
property_info_additional_brokerage_details	pagent_website
property_info_additional_brokerage_details	list_agent_public_id
property_info_additional_brokerage_details	email
property_info_additional_brokerage_details	buyer_broker_code
property_info_additional_brokerage_details	buyer_agent_public_id
property_info_additional_brokerage_details	lo_phone
property_info_additional_brokerage_details	list_office_code
property_info_additional_brokerage_details	owner_licensee
property_info_additional_brokerage_details	realtor
property_info_additional_brokerage_details	sale_office_bonus
property_info_additional_brokerage_details	commission_excluded
property_info_additional_brokerage_details	commission_variable
property_info_additional_brokerage_details	additional_showing
property_info_additional_brokerage_details	ladom
property_info_additional_brokerage_details	home_protection_plan
property_info_additional_brokerage_details	open_house_flag
property_info_additional_brokerage_details	list_date
property_info_additional_brokerage_details	list_price
property_info_additional_brokerage_details	original_list_price
property_info_additional_brokerage_details	pricechgdate
